setpos 690.963623 1253.784302 692.031311;setang 14.154097 73.629036 0.000000
setpos 247.161331 2458.689697 260.031311;setang 13.694159 -89.453926 0.000000
setpos 326.968750 2590.815674 260.031311;setang 4.646985 -94.796661 0.000000
setpos 590.428528 1335.028931 282.895782;setang 13.683800 -176.371567 0.000000
setpos 593.377258 1308.170898 284.902161;setang 15.597471 -177.425018 0.000000
setpos 295.829773 2393.536133 260.031311;setang 2.593092 -90.963722 0.000000
setpos 1338.344727 132.177002 260.031311;setang 17.706734 -178.873413 -0.005204
setpos 448.037750 4481.582031 260.031311;setang 7.342436 -133.064117 -0.008396
setpos 448.037750 4481.582031 260.031311;setang 7.342436 -133.064117 -0.002812
setpos 1657.505005 357.745911 187.462173;setang 12.768087 -133.082825 -0.005204
setpos 1657.505005 357.745911 187.462173;setang 12.768087 -133.082825 -0.001875
setpos 371.642395 918.364014 601.084229;setang 12.770105 -178.555099 0.000000
setpos 289.193359 2391.087402 260.031311;setang 7.750095 -103.639740 0.000000
setpos 289.193359 2391.087402 260.031311;setang 7.750095 -103.639740 0.000000
setpos 269.933563 2378.115967 260.031311;setang -26.171911 -108.038872 0.000000
setpos 621.912292 1270.595703 289.313843;setang 15.674566 174.283966 0.000000
setpos 705.431091 1256.288818 292.006226;setang 18.377996 172.697617 0.000000
setpos 300.477997 1235.036255 8.315826;setang -27.759363 168.800125 0.000000
setpos 709.473877 1290.156006 292.031311;setang 24.647034 -176.614563 0.000000
